Season,Date,Month,Home Team,Away Team,Result FullTime,Result HalfTime,HomeGoals FullTime,AwayGoals FullTime,HomeGoals HalfTime,AwyaGoals HalfTime,HomeCard Red,AwayCard Red,HomeCard Yellow,AwayCard Yellow,Validation,,
2013/2014,12/7/2013,December,Stoke,Chelsea,H,D,3,2,1,1,0,0,4,1,T,,
2013/2014,12/7/2013,December,Sunderland,Tottenham,A,D,1,2,1,1,0,0,2,0,T,,
2013/2014,12/7/2013,December,West Brom,Norwich,A,A,0,2,0,1,0,0,1,3,T,,
2013/2014,12/8/2013,December,Arsenal,Everton,D,D,1,1,0,0,0,0,0,4,T,,
2013/2014,12/8/2013,December,Fulham,Aston Villa,H,H,2,0,2,0,0,0,0,2,T,,
2013/2014,12/9/2013,December,Swansea,Hull,D,A,1,1,0,1,0,0,3,3,T,,
2013/2014,12/14/2013,December,Cardiff,West Brom,H,D,1,0,0,0,0,0,2,1,T,,
2013/2014,12/14/2013,December,Chelsea,Crystal Palace,H,H,2,1,2,1,0,0,2,1,T,,
2013/2014,12/14/2013,December,Everton,Fulham,H,H,4,1,1,0,0,0,1,2,T,,
2013/2014,12/14/2013,December,Hull,Stoke,D,D,0,0,0,0,0,0,1,0,T,,
2013/2014,12/14/2013,December,Man City,Arsenal,H,H,6,3,2,1,0,0,2,1,T,,
2013/2014,12/14/2013,December,Newcastle,Southampton,D,H,1,1,1,0,0,0,1,2,T,,
2013/2014,12/14/2013,December,West Ham,Sunderland,D,D,0,0,0,0,0,0,1,0,T,,
2013/2014,12/15/2013,December,Aston Villa,Man United,A,A,0,3,0,2,0,0,4,2,T,,
2013/2014,12/15/2013,December,Norwich,Swansea,D,D,1,1,1,1,0,0,0,3,T,,
2013/2014,12/15/2013,December,Tottenham,Liverpool,A,A,0,5,0,2,1,0,3,0,T,,
2013/2014,12/21/2013,December,Crystal Palace,Newcastle,A,A,0,3,0,2,0,0,1,2,T,,
2013/2014,12/21/2013,December,Fulham,Man City,A,A,2,4,0,2,0,0,1,1,T,,
2013/2014,12/21/2013,December,Liverpool,Cardiff,H,H,3,1,3,0,0,0,2,0,T,,
2013/2014,12/21/2013,December,Man United,West Ham,H,H,3,1,2,0,0,0,1,4,T,,
2013/2014,12/21/2013,December,Stoke,Aston Villa,H,D,2,1,0,0,0,0,1,5,T,,
2013/2014,12/21/2013,December,Sunderland,Norwich,D,D,0,0,0,0,1,0,2,1,T,,
